# x_m,y_m,w_tr_right_m,w_tr_left_m
13.635726,-489.567169,4.690,4.799
8.626745,-489.515580,4.791,4.707
3.616713,-489.355702,4.905,4.545
-1.387655,-489.073840,4.987,4.419
-6.379646,-488.656298,4.833,4.555
-11.352545,-488.089378,4.681,4.685
-16.299639,-487.359387,4.536,4.799
-21.214299,-486.455141,4.463,4.853
-26.090210,-485.374739,4.576,4.755
-30.921130,-484.118421,4.582,4.768
-35.700815,-482.686423,4.522,4.848
-40.423024,-481.078986,4.498,4.905
-45.081514,-479.296347,4.487,4.948
-49.670044,-477.338752,4.568,4.879
-54.182501,-475.207651,4.658,4.797
-58.613044,-472.906981,4.765,4.683
-62.955864,-470.440990,4.830,4.597
-67.205151,-467.813926,4.720,4.624
-71.355097,-465.030037,4.629,4.657
-75.399894,-462.093570,4.584,4.703
-79.333732,-459.008773,4.692,4.591
-83.150802,-455.779894,4.790,4.495
-86.845296,-452.411181,4.700,4.618
-90.411405,-448.906882,4.501,4.828
-93.843320,-445.271244,4.212,5.105
-97.135232,-441.508515,4.502,4.728
-100.281332,-437.622943,4.692,4.503
-103.276256,-433.619225,4.728,4.508
-106.116287,-429.503720,4.668,4.614
-108.798092,-425.283176,4.513,4.820
-111.318336,-420.964340,4.574,4.784
-113.673685,-416.553957,4.674,4.702
-115.860805,-412.058774,4.708,4.695
-117.876362,-407.485538,4.717,4.717
-119.717022,-402.840995,4.673,4.745
-121.379450,-398.131892,4.621,4.775
-122.860313,-393.364976,4.599,4.922
-124.156277,-388.546993,4.577,5.032
-125.264006,-383.684690,4.597,5.061
-126.180169,-378.784813,4.804,4.887
-126.901541,-373.854095,4.655,4.719
-127.428676,-368.898797,4.516,4.593
-127.766739,-363.924608,4.611,4.602
-127.921173,-358.937177,4.759,4.548
-127.897419,-353.942159,4.812,4.530
-127.700923,-348.945204,4.747,4.569
-127.337126,-343.951966,4.658,4.569
-126.811472,-338.968095,4.573,4.609
-126.129405,-333.999244,4.504,4.716
-125.296367,-329.051065,4.458,4.741
-124.317801,-324.129210,4.449,4.630
-123.199151,-319.239331,4.425,4.558
-121.945861,-314.387080,4.321,4.705
-120.563372,-309.578109,4.473,4.754
-119.058509,-304.816715,4.680,4.769
-117.447588,-300.097872,4.829,4.771
-115.750915,-295.412637,4.896,4.761
-113.988811,-290.752052,4.861,4.736
-112.181595,-286.107159,4.826,4.711
-110.349589,-281.469002,4.791,4.686
-108.513113,-276.828622,4.777,4.683
-106.688459,-272.178978,4.764,4.680
-104.876827,-267.520207,4.750,4.677
-103.075877,-262.854130,4.737,4.675
-101.283269,-258.182568,4.724,4.672
-99.496665,-253.507342,4.711,4.669
-97.713725,-248.830270,4.697,4.667
-95.932114,-244.153172,4.684,4.664
-94.150161,-239.477307,4.671,4.662
-92.367593,-234.802761,4.658,4.659
-90.584313,-230.129473,4.645,4.656
-88.800227,-225.457379,4.631,4.654
-87.015237,-220.786419,4.618,4.651
-85.229248,-216.116530,4.605,4.648
-83.442165,-211.447649,4.592,4.646
-81.653892,-206.779715,4.578,4.643
-79.864331,-202.112665,4.565,4.640
-78.073389,-197.446438,4.552,4.638
-76.280968,-192.780971,4.539,4.635
-74.486973,-188.116201,4.526,4.632
-72.691308,-183.452068,4.512,4.630
-70.893901,-178.788517,4.499,4.627
-69.094771,-174.125528,4.486,4.624
-67.293958,-169.463089,4.473,4.622
-65.491502,-164.801187,4.459,4.619
-63.687444,-160.139812,4.446,4.617
-61.881823,-155.478949,4.433,4.614
-60.074681,-150.818588,4.420,4.611
-58.266057,-146.158715,4.407,4.609
-56.455991,-141.499319,4.393,4.606
-54.644524,-136.840387,4.380,4.603
-52.831697,-132.181907,4.367,4.601
-51.017548,-127.523866,4.392,4.625
-49.202119,-122.866254,4.417,4.649
-47.385450,-118.209056,4.443,4.672
-45.567581,-113.552261,4.468,4.696
-43.748552,-108.895857,4.493,4.720
-41.928403,-104.239831,4.518,4.744
-40.107175,-99.584172,4.544,4.768
-38.284908,-94.928866,4.569,4.792
-36.461642,-90.273902,4.594,4.816
-34.637418,-85.619267,4.619,4.840
-32.812275,-80.964950,4.645,4.864
-30.986254,-76.310937,4.670,4.888
-29.159396,-71.657217,4.695,4.912
-27.331740,-67.003778,4.720,4.936
-25.503326,-62.350606,4.746,4.960
-23.674195,-57.697691,4.771,4.984
-21.844388,-53.045019,4.796,5.008
-20.013943,-48.392578,4.821,5.032
-18.182903,-43.740356,4.847,5.055
-16.351306,-39.088341,4.872,5.079
-14.519193,-34.436521,4.897,5.103
-12.686605,-29.784883,4.923,5.127
-10.853581,-25.133415,4.948,5.151
-9.020162,-20.482105,4.973,5.175
-7.186388,-15.830941,4.998,5.199
-5.352300,-11.179909,5.024,5.223
-3.517937,-6.528999,5.049,5.247
